id_talent_req,id_company,nama_perusahaan,alamat_kantor,industri_sektor,nama_pic,no_whatsapp,nama_posisi,jenis_penempatan,headcount,bidang_studi_dibutuhkan,minimum_semester,deskripsi_requirement,working_arrangement,working_arrangement_detail,durasi,renumerasi,request_date,sumber_baris_form
TR3629,C863,PT Sentosa Bangsa,"Jl. Urip Sumoharjo No. 84, Malang",Keuangan & Perbankan,Ahmad Rahmawati,081686966101,Internal Auditor,Magang,1,Akuntansi,6,"Memahami standar audit, risk assessment, pengendalian internal.",Hybrid,WFO minimal 2 hari per minggu,3 Bulan,Non-Paid,2023-11-03,Input Manual
TR3630,C849,CV Prima Sentosa,"Jl. Merdeka No. 7, Surakarta",Manufaktur,Gibran Puspitasari,081587561786,Production Planning Intern,Magang,3,"Teknik Industri, Manajemen",5,"Menguasai dasar-dasar production planning intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, shift pagi/siang",3 Bulan,Rp 2.500.000/bulan,2024-01-31,Google Form
TR3631,C581,PT Makmur Cerdas,"Jl. Dago No. 138, Tangerang",Teknologi Informasi,Indah Cahyani,085283347743,Frontend Developer,Magang,1,"Sistem Informasi, Informatika",6,"Menguasai HTML/CSS/JavaScript, framework React/Vue.js, responsive design. Pengalaman dengan Git.",WFO,"WFO 5 hari, jam kerja fleksibel",4 Bulan,Non-Paid,2024-01-25,Google Form
TR3632,C228,CV Media Kreatif,"Jl. Braga No. 41, Surakarta",Otomotif,Qori Rahmawati,081267994075,Quality Control Staff,Magang,3,"Farmasi, Teknik Mesin",7,"Memahami quality management system, ISO standards, inspeksi produk.",WFO,"WFO 5 hari, jam kerja fleksibel",3 Bulan,Rp 500.000/bulan,2023-12-05,Input Manual
TR3633,C883,PT Esa Nusantara,"Jl. Thamrin No. 44, Yogyakarta",Otomotif,Rizky Ramadhan,082138885622,IT Support,Magang,3,"Informatika, Sistem Informasi",6,"Menguasai troubleshooting hardware/software, networking dasar, Microsoft Office.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",3 Bulan,Rp 750.000/bulan,2023-12-16,Google Form
TR3634,C1408,PT Bumi Analitika,"Jl. Diponegoro No. 63, Bandung",Energi & Pertambangan,Winda Anggraeni,083800250458,Geologist Intern,Magang,2,Teknik Sipil,5,"Menguasai dasar-dasar geologist intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, shift pagi/siang",6 Bulan,Non-Paid,2023-12-28,Google Form
TR3635,C218,CV Jaya Cerdas,"Jl. Slamet Riyadi No. 33, Semarang",Telekomunikasi,Ivan Cahyani,083812968362,IT Support,Full-time,4,"Informatika, Pendidikan Teknik Informatika",7,"Menguasai troubleshooting hardware/software, networking dasar, Microsoft Office.",Hybrid,"2 hari WFO, 3 hari WFH",6 Bulan,Rp 6.000.000/bulan,2023-09-30,Google Form
TR3636,C524,PT Inti Makmur,"Jl. Ir. Sutami No. 86, Jakarta",Manufaktur,Indah Sulistyo,082269036289,Data Entry Operator,Part-time,1,"Akuntansi, Manajemen",4,"Menguasai dasar-dasar data entry operator, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"2 hari WFO, 3 hari WFH",4 Bulan,Rp 2.000.000/bulan,2023-12-07,Google Form
TR3637,C257,PT Daya Inovasi,"Jl. Raya Pajajaran No. 199, Malang",Retail,Erlangga Putra,085356996112,Data Analyst,Magang,1,"Statistika, Manajemen",6,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",Hybrid,"WFO Senin-Rabu, WFH Kamis-Jumat",6 Bulan,Rp 3.000.000/bulan,2023-10-07,Google Form
TR3638,C087,PT Inti Analitika,"Jl. Monginsidi No. 130, Jakarta",E-commerce,Satria Ningsih,085890374646,Content Writer,Part-time,1,"Ilmu Komunikasi, Sastra Inggris",5,"Kemampuan menulis konten yang baik, SEO writing, riset topik.",WFO,"WFO 5 hari, jam kerja fleksibel",3 Bulan,Rp 1.500.000/bulan,2023-11-04,WhatsApp
TR3639,C1022,PT Prima Kreatif,"Jl. Pandanaran No. 64, Surakarta",Media & Kreatif,Anggi Hakim,082188341241,Copywriter,Magang,3,"Ilmu Komunikasi, Sastra Inggris",4,"Menguasai dasar-dasar copywriter, komunikasi baik, mampu bekerja dalam tim.",WFH,"Full WFH, jam kerja fleksibel",4 Bulan,Uang transport saja,2023-12-22,Input Manual
TR3640,C1053,PT Solusi Bangsa,"Jl. Ahmad Yani No. 20, Bogor",Asuransi,Vino Wijaya,085728164416,Business Analyst,Magang,4,"Statistika, Manajemen",5,"Menguasai analisis proses bisnis, SQL, visualisasi data, komunikasi yang baik.",WFO,"WFO 5 hari, jam kerja fleksibel",6 Bulan,Rp 1.500.000/bulan,2023-10-06,Google Form
TR3641,C656,CV Sejahtera Pratama,"Jl. Mangga Dua No. 131, Surakarta",Manufaktur,Indah Handoko,081303977397,Mechanical Engineer Intern,Magang,2,Teknik Mesin,4,"Menguasai AutoCAD/SolidWorks, material science dasar, manufaktur.",WFH,WFH dengan weekly meeting online,3 Bulan,Rp 1.500.000/bulan,2024-01-24,Google Form
TR3642,C047,PT Sukses Global,"Jl. Raya Pajajaran No. 188, Semarang",Retail,Wahyu Ningsih,085341142419,Data Analyst,Part-time,5,"Manajemen, Ekonomi Pembangunan",7,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",Hybrid,"2 hari WFO, 3 hari WFH",3 Bulan,Rp 1.000.000/bulan,2023-12-26,Email
TR3643,C828,PT Bina Cerdas,"Jl. Dago No. 123, Malang",Travel & Hospitality,Surya Firdaus,083802058695,IT Support,Part-time,1,"Sistem Informasi, Informatika",7,"Menguasai troubleshooting hardware/software, networking dasar, Microsoft Office.",WFH,WFH dengan weekly meeting online,Tidak Terbatas,Rp 1.000.000/bulan,2024-01-24,Email
TR3644,C1485,CV Inti Logistik,"Jl. Monginsidi No. 100, Semarang",Pendidikan & EdTech,Wulan Wijaya,085681903352,Instructional Designer,Magang,2,"Psikologi, Pendidikan Teknik Informatika",7,"Menguasai dasar-dasar instructional designer, komunikasi baik, mampu bekerja dalam tim.",WFO,"WFO 5 hari, jam kerja fleksibel",3 Bulan,Uang transport saja,2023-12-13,Google Form
TR3645,C052,PT Techno Bangsa,"Jl. Veteran No. 89, Jakarta",Travel & Hospitality,Pandu Cahyani,085343161172,Digital Marketing Intern,Magang,4,"Ilmu Komunikasi, Manajemen",4,"Menguasai social media management, Google Ads, SEO dasar, content creation.",WFH,"Full remote, standup meeting harian via Zoom",3 Bulan,Rp 2.500.000/bulan,2023-10-06,Google Form
TR3646,C1341,CV Abadi Karya,"Jl. Ronggowarsito No. 15, Depok",Media & Kreatif,Ulfa Wibowo,082221756580,UI/UX Designer,Part-time,4,"Desain Komunikasi Visual, Sistem Informasi",4,"Menguasai Figma/Adobe XD, user research, wireframing, prototyping, design thinking.",Hybrid,WFO minimal 2 hari per minggu,6 Bulan,Rp 2.500.000/bulan,2023-08-23,Google Form
TR3647,C1182,CV Digital Inovasi,"Jl. Kuningan No. 84, Surakarta",Keuangan & Perbankan,Elsa Permana,081687084779,Risk Analyst,Part-time,3,"Manajemen, Statistika",5,"Menguasai analisis risiko, statistik, Excel, Python/R untuk modeling.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",4 Bulan,Rp 2.500.000/bulan,2023-08-21,Google Form
TR3648,C083,CV Jaya Gemilang,"Jl. Pahlawan No. 52, Surabaya",Kesehatan & Farmasi,Lutfia Hakim,081260685361,Regulatory Affairs Intern,Magang,3,"Farmasi, Ilmu Hukum",4,"Menguasai dasar-dasar regulatory affairs intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"WFO 5 hari, jam kerja fleksibel",4 Bulan,Uang transport saja,2023-12-24,Email
TR3649,C273,PT Sukses Sejahtera,"Jl. Veteran No. 169, Surakarta",E-commerce,Gilang Cahyani,081258650948,Content Writer,Part-time,3,"Ilmu Komunikasi, Sastra Inggris",5,"Kemampuan menulis konten yang baik, SEO writing, riset topik.",Hybrid,"2 hari WFO, 3 hari WFH",Tidak Terbatas,Rp 2.000.000/bulan,2023-09-28,Input Manual
TR3650,C1150,PT Cakra Bangsa,"Jl. Hasanuddin No. 56, Jakarta",Manufaktur,Ulfa Santoso,081591708517,Production Planning Intern,Magang,5,"Teknik Industri, Manajemen",5,"Menguasai dasar-dasar production planning intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"3 hari WFO, 2 hari WFH",3 Bulan,Rp 2.500.000/bulan,2023-09-08,Google Form
TR3651,C1080,CV Sejahtera Media,"Jl. Pandanaran No. 86, Yogyakarta",Energi & Pertambangan,Faisal Cahyono,081513807799,Geologist Intern,Part-time,2,Teknik Sipil,5,"Menguasai dasar-dasar geologist intern, komunikasi baik, mampu bekerja dalam tim.",WFH,"Full WFH, jam kerja fleksibel",6 Bulan,Rp 1.500.000/bulan,2023-08-05,Google Form
TR3652,C217,CV Nusa Informatika,"Jl. Pemuda No. 186, Semarang",Properti & Konstruksi,Lutfia Prasetya,081508106200,Civil Engineer Intern,Magang,1,Teknik Sipil,6,"Menguasai AutoCAD, SAP2000, perhitungan struktur dasar.",WFH,"Full remote, standup meeting harian via Zoom",4 Bulan,Uang transport saja,2023-11-23,Google Form
TR3653,C585,PT Sentosa Global,"Jl. Raya Pajajaran No. 7, Bandung",Logistik & Supply Chain,Cahyo Suryadi,087843502385,Business Process Analyst,Magang,1,"Manajemen, Teknik Industri",5,"Menguasai dasar-dasar business process analyst, komunikasi baik, mampu bekerja dalam tim.",WFH,"Full remote, standup meeting harian via Zoom",3 Bulan,Uang transport saja,2023-08-13,Google Form
TR3654,C1478,CV Perkasa Digital,"Jl. Kuningan No. 148, Surabaya",Energi & Pertambangan,Mega Ramadhan,082199301835,HSE Intern,Magang,2,"Teknik Industri, Teknik Mesin",4,"Menguasai dasar-dasar hse intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"2 hari WFO, 3 hari WFH",3 Bulan,Rp 3.000.000/bulan,2024-01-24,Input Manual
TR3655,C475,PT Gemilang Analitika,"Jl. Brigjend Katamso No. 156, Surakarta",Kesehatan & Farmasi,Lina Ardiansyah,081635797863,Regulatory Affairs Intern,Magang,1,"Farmasi, Ilmu Hukum",7,"Menguasai dasar-dasar regulatory affairs intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"WFO Senin-Rabu, WFH Kamis-Jumat",3 Bulan,Rp 2.000.000/bulan,2023-08-05,Google Form
TR3656,C583,CV Esa Inovasi,"Jl. Diponegoro No. 119, Bandung",Pendidikan & EdTech,Aditya Santoso,087766191284,Teaching Assistant,Magang,1,Pendidikan Teknik Informatika,6,"Menguasai dasar-dasar teaching assistant, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"2 hari WFO, 3 hari WFH",Tidak Terbatas,Rp 500.000/bulan,2023-10-07,Google Form
TR3657,C1406,CV Sinergi Sentosa,"Jl. Veteran No. 95, Surakarta",Energi & Pertambangan,Gilang Ningsih,083839755507,Data Analyst,Magang,2,"Statistika, Manajemen",4,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",Hybrid,"3 hari WFO, 2 hari WFH",3 Bulan,Uang transport saja,2023-11-28,Input Manual
TR3658,C1243,CV Sinergi Mandiri,"Jl. Pemuda No. 134, Yogyakarta",Retail,Wulan Firdaus,085697251840,Data Analyst,Part-time,4,"Statistika, Informatika",4,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",Hybrid,"Hybrid fleksibel, minimal 3 hari WFO per minggu",3 Bulan,Rp 1.500.000/bulan,2023-08-23,Google Form
TR3659,C123,PT Techno Gemilang,"Jl. Brigjend Katamso No. 38, Yogyakarta",E-commerce,Rizky Cahyono,085399013983,UI/UX Designer,Full-time,1,"Sistem Informasi, Informatika",6,"Menguasai Figma/Adobe XD, user research, wireframing, prototyping, design thinking.",WFH,WFH dengan weekly meeting online,Tidak Terbatas,Rp 5.000.000/bulan,2023-09-03,Google Form
TR3660,C1274,PT Bakti Abadi,"Jl. Slamet Riyadi No. 174, Bandung",FMCG,Surya Setiawan,085707227850,Supply Chain Intern,Magang,2,"Teknik Industri, Manajemen",4,"Menguasai dasar-dasar supply chain intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"3 hari WFO, 2 hari WFH",6 Bulan,Rp 2.000.000/bulan,2023-09-23,Google Form
TR3661,C1273,PT Sukses Analitika,"Jl. Urip Sumoharjo No. 6, Yogyakarta",Media & Kreatif,Gilang Lestari,085729390773,Copywriter,Part-time,2,"Ilmu Komunikasi, Sastra Inggris",5,"Menguasai dasar-dasar copywriter, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, shift pagi/siang",6 Bulan,Rp 1.000.000/bulan,2023-12-16,Email
TR3662,C1439,PT Solusi Nusantara,"Jl. Braga No. 128, Jakarta",Pendidikan & EdTech,Amelia Anggara,081227728715,Data Analyst,Magang,5,"Ekonomi Pembangunan, Sistem Informasi",7,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",Hybrid,"Hybrid fleksibel, minimal 3 hari WFO per minggu",6 Bulan,Uang transport saja,2023-10-24,Google Form
TR3663,C1225,CV Techno Systems,"Jl. Kuningan No. 80, Tangerang",Travel & Hospitality,Salma Hartono,085630699281,Digital Marketing Intern,Part-time,2,"Manajemen, Ilmu Komunikasi",4,"Menguasai social media management, Google Ads, SEO dasar, content creation.",WFO,"Full WFO, shift pagi/siang",Tidak Terbatas,Rp 1.500.000/bulan,2023-09-24,Google Form
TR3664,C211,PT Sejahtera Gemilang,"Jl. Merdeka No. 168, Surakarta",Retail,Ulfa Kurniawan,087701660880,Visual Merchandiser Intern,Magang,4,Desain Komunikasi Visual,7,"Menguasai dasar-dasar visual merchandiser intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",4 Bulan,Uang transport saja,2023-09-05,WhatsApp
TR3665,C081,PT Abadi Indonesia,"Jl. Slamet Riyadi No. 171, Semarang",Media & Kreatif,Anggi Handoko,081573834735,Graphic Designer,Magang,2,Desain Komunikasi Visual,5,"Menguasai Adobe Illustrator/Photoshop, Figma, tipografi, layout design.",WFH,WFH dengan weekly meeting online,3 Bulan,Rp 500.000/bulan,2023-08-12,Input Manual
TR3666,C895,CV Sukses Media,"Jl. Raya Pajajaran No. 183, Jakarta",Media & Kreatif,Qonita Anggara,085304465820,Graphic Designer,Magang,2,Desain Komunikasi Visual,5,"Menguasai Adobe Illustrator/Photoshop, Figma, tipografi, layout design.",WFO,"Full WFO, shift pagi/siang",6 Bulan,Rp 1.500.000/bulan,2023-09-14,Google Form
TR3667,C851,PT Media Indonesia,"Jl. Adi Sucipto No. 185, Jakarta",E-commerce,Ayu Sari,085221282776,Data Analyst,Magang,2,"Manajemen, Ekonomi Pembangunan",6,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",Hybrid,"2 hari WFO, 3 hari WFH",4 Bulan,Non-Paid,2024-01-11,Input Manual
TR3668,C1368,CV Indo Bersama,"Jl. Yos Sudarso No. 170, Bekasi",Telekomunikasi,Yoga Ramadhan,081612538078,IT Support,Magang,3,"Sistem Informasi, Teknik Elektro",7,"Menguasai troubleshooting hardware/software, networking dasar, Microsoft Office.",WFO,"Full WFO, shift pagi/siang",4 Bulan,Rp 1.000.000/bulan,2024-01-08,WhatsApp
TR3669,C740,PT Perkasa Terapan,"Jl. Ahmad Yani No. 122, Surakarta",Media & Kreatif,Galih Saputra,087872453076,Photographer Intern,Part-time,4,"Desain Komunikasi Visual, Ilmu Komunikasi",6,"Menguasai dasar-dasar photographer intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,WFO minimal 2 hari per minggu,6 Bulan,Rp 2.000.000/bulan,2023-08-08,Input Manual
TR3670,C1083,CV Graha Media,"Jl. Slamet Riyadi No. 98, Yogyakarta",Telekomunikasi,Tiara Gunawan,083806640511,Software Developer,Magang,5,"Informatika, Sistem Informasi",7,"Menguasai dasar-dasar software developer, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",Tidak Terbatas,Non-Paid,2023-12-09,Google Form
TR3671,C1439,PT Solusi Nusantara,"Jl. Mangga Dua No. 69, Jakarta",Pendidikan & EdTech,Amelia Anggara,081227728715,Instructional Designer,Magang,3,"Ilmu Komunikasi, Psikologi",7,"Menguasai dasar-dasar instructional designer, komunikasi baik, mampu bekerja dalam tim.",Hybrid,WFO minimal 2 hari per minggu,3 Bulan,Rp 3.000.000/bulan,2023-09-19,Google Form
TR3672,C072,PT Digital Informatika,"Jl. Urip Sumoharjo No. 145, Surakarta",FMCG,Eka Prabowo,085269664160,Brand Executive Intern,Magang,4,"Manajemen, Ilmu Komunikasi",5,"Menguasai dasar-dasar brand executive intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",4 Bulan,Uang transport saja,2023-09-16,Google Form
TR3673,C334,PT Digital Data,"Jl. Ronggowarsito No. 89, Jakarta",Asuransi,Hana Ningsih,085282530925,Underwriting Intern,Magang,2,"Akuntansi, Manajemen",6,"Menguasai dasar-dasar underwriting intern, komunikasi baik, mampu bekerja dalam tim.",WFH,"Full WFH, jam kerja fleksibel",3 Bulan,Rp 500.000/bulan,2023-09-17,Google Form
TR3674,C1232,CV Solusi Mandiri,"Jl. Pahlawan No. 50, Yogyakarta",Retail,Ika Wijaya,085226693706,Visual Merchandiser Intern,Magang,3,Desain Komunikasi Visual,7,"Menguasai dasar-dasar visual merchandiser intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"Hybrid fleksibel, minimal 3 hari WFO per minggu",6 Bulan,Non-Paid,2023-09-17,Email
TR3675,C1327,CV Techno Sejahtera,"Jl. Pahlawan No. 16, Surakarta",Pendidikan & EdTech,Januar Fitriani,085274874114,Research Intern,Part-time,2,"Ekonomi Pembangunan, Statistika",5,"Menguasai dasar-dasar research intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"WFO 5 hari, jam kerja fleksibel",4 Bulan,Rp 2.500.000/bulan,2023-08-25,Google Form
TR3676,C302,PT Graha Sentosa,"Jl. Ahmad Yani No. 69, Surabaya",Teknologi Informasi,Devi Nugroho,085327278576,DevOps Engineer,Part-time,1,"Informatika, Sistem Informasi",5,"Menguasai Linux, Docker, CI/CD, cloud platform, scripting (Bash/Python).",WFH,"Full remote, standup meeting harian via Zoom",Tidak Terbatas,Rp 2.000.000/bulan,2023-10-26,WhatsApp
TR3677,C1180,CV Digital Solusi,"Jl. MT Haryono No. 175, Surakarta",Asuransi,Joko Gunawan,081398376764,Data Analyst,Magang,2,"Informatika, Ekonomi Pembangunan",5,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",WFO,"WFO 5 hari, jam kerja fleksibel",6 Bulan,Non-Paid,2023-11-16,Google Form
TR3678,C148,PT Kreasi Perkasa,"Jl. Kuningan No. 163, Jakarta",Manufaktur,Arif Ardiansyah,085842728688,Industrial Engineer Intern,Part-time,2,Teknik Industri,6,"Menguasai lean manufacturing, time & motion study, AutoCAD.",WFO,"WFO 5 hari, jam kerja fleksibel",Tidak Terbatas,Rp 2.500.000/bulan,2024-01-30,Google Form
TR3679,C800,CV Graha Solusi,"Jl. Slamet Riyadi No. 91, Malang",Energi & Pertambangan,Joko Pangestu,087871200720,Environmental Analyst,Magang,1,"Agroteknologi, Teknik Sipil",5,"Menguasai dasar-dasar environmental analyst, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"Hybrid fleksibel, minimal 3 hari WFO per minggu",6 Bulan,Rp 3.000.000/bulan,2023-11-04,Input Manual
TR3680,C1008,CV Graha Sentosa,"Jl. Urip Sumoharjo No. 43, Jakarta",Logistik & Supply Chain,Qori Gunawan,087771167507,Operations Intern,Magang,1,"Teknik Industri, Manajemen",5,"Menguasai dasar-dasar operations intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"3 hari WFO, 2 hari WFH",4 Bulan,Rp 3.000.000/bulan,2023-12-24,Google Form
TR3681,C324,PT Inovasi Mandiri,"Jl. Dago No. 56, Jakarta",Retail,Lukman Adriansyah,085824416102,IT Support,Magang,4,"Teknik Elektro, Informatika",5,"Menguasai troubleshooting hardware/software, networking dasar, Microsoft Office.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",3 Bulan,Rp 2.500.000/bulan,2023-12-22,Google Form
TR3682,C272,PT Global Informatika,"Jl. Ronggowarsito No. 2, Surabaya",Keuangan & Perbankan,Rangga Cahyono,083897603005,IT Staff,Magang,5,"Teknik Elektro, Sistem Informasi",6,"Menguasai dasar-dasar it staff, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"Hybrid fleksibel, minimal 3 hari WFO per minggu",6 Bulan,Uang transport saja,2023-11-10,Google Form
TR3683,C1389,PT Mega Analitika,"Jl. Diponegoro No. 47, Jakarta",Retail,Salma Prasetya,085624872385,Data Analyst,Magang,2,"Sistem Informasi, Manajemen",6,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",WFH,"Full remote, standup meeting harian via Zoom",Tidak Terbatas,Uang transport saja,2023-08-12,Google Form
TR3684,C954,CV Andalas Kreatif,"Jl. Kuningan No. 174, Surakarta",Travel & Hospitality,Prasetyo Sulistyo,082261917233,Digital Marketing Intern,Part-time,2,"Manajemen, Desain Komunikasi Visual",7,"Menguasai social media management, Google Ads, SEO dasar, content creation.",WFH,WFH dengan weekly meeting online,3 Bulan,Rp 1.500.000/bulan,2023-11-10,Google Form
TR3685,C179,CV Media Utama,"Jl. Hasanuddin No. 23, Surabaya",E-commerce,Ayu Kusuma,082231541006,UI/UX Designer,Full-time,3,"Informatika, Desain Komunikasi Visual",4,"Menguasai Figma/Adobe XD, user research, wireframing, prototyping, design thinking.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",4 Bulan,Rp 4.500.000/bulan,2023-10-22,Google Form
TR3686,C930,PT Gemilang Inovasi,"Jl. Thamrin No. 43, Surakarta",Travel & Hospitality,Fani Pratama,081547264261,IT Support,Magang,2,"Pendidikan Teknik Informatika, Informatika",5,"Menguasai troubleshooting hardware/software, networking dasar, Microsoft Office.",WFH,"Full WFH, jam kerja fleksibel",3 Bulan,Rp 1.500.000/bulan,2023-11-04,Google Form
TR3687,C1385,PT Digital Sejahtera,"Jl. Pandanaran No. 138, Jakarta",Manufaktur,Lestari Dewi,082256523681,Industrial Engineer Intern,Magang,1,Teknik Industri,6,"Menguasai lean manufacturing, time & motion study, AutoCAD.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",4 Bulan,Rp 1.500.000/bulan,2023-10-07,Google Form
TR3688,C362,PT Mega Sejahtera,"Jl. Gatot Subroto No. 28, Semarang",Kesehatan & Farmasi,Hesti Febriani,085709752524,IT Staff,Magang,5,"Informatika, Teknik Elektro",6,"Menguasai dasar-dasar it staff, komunikasi baik, mampu bekerja dalam tim.",WFH,"Full remote, standup meeting harian via Zoom",6 Bulan,Rp 2.500.000/bulan,2023-09-24,Google Form
TR3689,C513,PT Bangkit Solusi,"Jl. Pandanaran No. 19, Surakarta",Media & Kreatif,Taufik Putra,082169312163,Graphic Designer,Magang,2,Desain Komunikasi Visual,7,"Menguasai Adobe Illustrator/Photoshop, Figma, tipografi, layout design.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",3 Bulan,Rp 500.000/bulan,2023-08-05,Google Form
TR3690,C191,PT Mitra Pratama,"Jl. Adi Sucipto No. 71, Jakarta",Konsultan Manajemen,Teguh Permana,081542021642,Business Analyst,Full-time,1,"Statistika, Manajemen",5,"Menguasai analisis proses bisnis, SQL, visualisasi data, komunikasi yang baik.",WFO,"Full WFO, shift pagi/siang",6 Bulan,Rp 4.000.000/bulan,2023-08-22,Email
TR3691,C809,CV Cipta Sejahtera,"Jl. Merdeka No. 41, Jakarta",Retail,Aditya Permana,083886084907,IT Support,Magang,4,"Pendidikan Teknik Informatika, Teknik Elektro",6,"Menguasai troubleshooting hardware/software, networking dasar, Microsoft Office.",WFH,WFH dengan weekly meeting online,4 Bulan,Rp 500.000/bulan,2024-01-10,Email
TR3692,C1056,PT Cakra Inovasi,"Jl. Gatot Subroto No. 148, Yogyakarta",Teknologi Informasi,Surya Sulistyo,082117785844,IT Support,Magang,1,"Informatika, Pendidikan Teknik Informatika",6,"Menguasai troubleshooting hardware/software, networking dasar, Microsoft Office.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",3 Bulan,Uang transport saja,2023-12-28,Google Form
TR3693,C995,PT Sinergi Makmur,"Jl. Braga No. 170, Tangerang",Asuransi,Amelia Nugroho,085287312677,Actuarial Analyst Intern,Magang,2,"Statistika, Akuntansi",4,"Menguasai dasar-dasar actuarial analyst intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, shift pagi/siang",6 Bulan,Uang transport saja,2023-11-07,Google Form
TR3694,C1345,CV Bumi Sentosa,"Jl. Pandanaran No. 71, Surabaya",Properti & Konstruksi,Intan Budiman,081399160539,Drafter,Magang,2,"Teknik Sipil, Teknik Mesin",5,"Menguasai dasar-dasar drafter, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"2 hari WFO, 3 hari WFH",3 Bulan,Uang transport saja,2024-01-16,Google Form
TR3695,C1296,CV Indo Indonesia,"Jl. Monginsidi No. 72, Surakarta",Properti & Konstruksi,Gibran Putra,081350614661,Marketing Staff,Part-time,3,"Manajemen, Ilmu Komunikasi",4,"Menguasai dasar-dasar marketing staff, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, shift pagi/siang",3 Bulan,Rp 1.500.000/bulan,2023-08-08,Google Form
TR3696,C1454,CV Andalas Solusi,"Jl. Pahlawan No. 92, Semarang",Agribisnis,Hafiz Sari,081226564771,Agricultural Engineer Intern,Magang,1,Agroteknologi,4,"Menguasai dasar-dasar agricultural engineer intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"WFO Senin-Rabu, WFH Kamis-Jumat",3 Bulan,Non-Paid,2024-01-18,WhatsApp
TR3697,C486,PT Mega Data,"Jl. Braga No. 50, Jakarta",Otomotif,Lukman Wibowo,081313199945,Production Engineer Intern,Magang,1,"Teknik Industri, Teknik Mesin",5,"Menguasai dasar-dasar production engineer intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"WFO 5 hari, jam kerja fleksibel",3 Bulan,Rp 750.000/bulan,2023-10-14,Email
TR3698,C920,PT Bina Pratama,"Jl. Mangga Dua No. 76, Bogor",Media & Kreatif,Oscar Sari,087760523045,UI/UX Designer,Magang,2,"Sistem Informasi, Informatika",6,"Menguasai Figma/Adobe XD, user research, wireframing, prototyping, design thinking.",WFH,"Full WFH, jam kerja fleksibel",4 Bulan,Rp 1.000.000/bulan,2023-12-18,Google Form
TR3699,C821,PT Inovasi Media,"Jl. Pahlawan No. 56, Bandung",Konsultan Manajemen,Dimas Prasetya,082296384526,Research Associate,Full-time,2,Teknik Sipil,4,"Menguasai dasar-dasar research associate, komunikasi baik, mampu bekerja dalam tim.",WFO,"WFO 5 hari, jam kerja fleksibel",Tidak Terbatas,Rp 5.000.000/bulan,2023-09-10,Google Form
TR3700,C918,PT Abadi Sentosa,"Jl. Braga No. 125, Bekasi",Konsultan Manajemen,Muhammad Ramadhani,081500587054,Research Associate,Part-time,1,Ilmu Komunikasi,5,"Menguasai dasar-dasar research associate, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",Tidak Terbatas,Rp 1.500.000/bulan,2023-08-06,Google Form
